"","o__Acidaminococcales","o__Actinomycetales","o__Bacillales","o__Bacteroidales","o__Bifidobacteriales","o__Brachyspirales","o__Burkholderiales","o__Campylobacterales","o__Candidatus_Gastranaerophilales","o__Clostridiales","o__Coriobacteriales","o__Corynebacteriales","o__Desulfovibrionales","o__Eggerthellales","o__Enterobacterales","o__Erysipelotrichales","o__Firmicutes_unclassified","o__Fusobacteriales","o__Lactobacillales","o__Methanobacteriales","o__Methanomassiliicoccales","o__Micrococcales","o__Pasteurellales","o__Propionibacteriales","o__Proteobacteria_unclassified","o__Pseudomonadales","o__Selenomonadales","o__Synergistales","o__Tissierellales","o__Veillonellales","o__Verrucomicrobiales","o__Victivallales"
"52-tP",0,0,0,32.75359,8.02508,0,0.28539,0,0,48.42502,1.03451,0,0,0.66055,0.19109,0.19281,3.16978,0,2.11828,0,0,0,0,0,0,0,0,0,0,0.1395,3.00441,0
"54-rB",0,0,0,29.26213,3.81441,0,0,0,0,60.21795,0,0,0.08342,0.39643,0.83975,0.16424,2.108,0,0,2.04107,0,0,0,0,0,0.2558,0,0.79659,0.02023,0,0,0
"54-rP",0,0,0,29.80013,2.42875,0,0,0,0,63.43346,0,0,0.14965,0.22661,0.12584,0.01459,1.64431,0,0,1.33929,0,0,0,0,0,0,0,0.83736,0,0,0,0
"54-tB",0,0,0,32.74903,1.11993,0,0,0,0,61.1232,0,0,0.11467,0.15596,1.84364,0.00139,1.73662,0,0,0.93825,0,0,0,0,0,0,0,0.18024,0,0.03705,0,0
"54-tP",0,0,0,27.25224,1.75522,0,0,0,0,66.56111,0,0,0.09675,0.16047,0.42473,0.10922,1.48058,0,0,1.32065,0,0,0,0,0,0,0,0.83902,0,0,0,0
"55-rB",0.65804,0,0,40.41287,0.69618,0,0.09589,0,0,27.44469,0.47385,0,0,0.1501,28.01926,0,0.16171,0,0.22203,0.30369,0,0,0,0,0.42675,0,0,0,0,0.69254,0,0.24241
"55-rP",0.96553,0,0,35.43525,0.65932,0,0.05631,0,0,22.99903,0.59112,0,0,0.01408,37.52121,0.07921,0.19157,0,0.07449,0.60081,0.08418,0,0,0,0.30932,0,0,0,0,0,0,0.41855
"55-tB",0.52061,0,0,31.54817,0.37365,0,0.08833,0,0,23.79758,0.68284,0,0,0.01202,41.39993,0,0.1264,0,0.41998,0.16749,0.0024,0,0,0,0.53027,0,0,0,0,0,0,0.33033
"55-tP",0.64707,0,0,25.41339,0.53947,0,0.14506,0,0,27.41747,0.782,0,0,0.03903,42.67755,0.01262,0.69693,0,0.2511,0.24538,0.1902,0,0,0,0.29922,0,0,0,0,0,0,0.6435
"57-rB",0.9031,0,0,51.7622,0.30445,0,0.09782,0,0,39.49992,3.50903,0,0,0.42139,0.9203,0.25355,0.47325,0,0.63891,1.06985,0,0,0,0,0.14622,0,0,0,0,0,0,0
"57-rP",0.99652,0,0,47.10145,0.83009,0,0.17438,0,0,38.59528,2.35942,0,0,0.55908,0,0.38247,1.56232,0,0.88504,6.46496,0,0,0,0,0.08901,0,0,0,0,0,0,0
"57-tB",0.84935,0,0,52.77796,0.7263,0,0.07129,0,0,39.09435,2.5803,0,0,0.25117,0.60354,0.05451,1.01979,0,0.60444,1.11436,0,0,0,0,0.25267,0,0,0,0,0,0,0
"57-tP",0.63406,0,0,33.17879,1.43196,0,0.25153,0,0,52.42234,4.70855,0,0,0.98195,0,0.34329,1.9874,0,1.76045,2.29765,0,0,0,0,0.00205,0,0,0,0,0,0,0
"58-rB",0,0,0,88.15096,0,0,0.04945,0.17383,0,9.86979,1.01577,0,0.11173,0,0,0.22253,0.01525,0,0.11931,0,0,0,0,0,0,0,0.17017,0,0,0.10121,0,0
"58-rP",1.49318,0,0,75.32656,0.6051,0,0.05234,0,0,15.99623,1.20841,0,1.67618,0.56942,0.57053,0.88429,1.02725,0,0.42548,0.13379,0,0,0,0,0,0,0.00609,0.02191,0,0.00325,0,0
"58-tB",0.04866,0,0,36.13718,0,0,0.09907,0,0,54.38416,2.20109,0,0.32294,0.01082,3.9533,1.93831,0.49748,0,0.36596,0,0,0,0,0,0,0,0.01677,0,0,0.02426,0,0
"58-tP",1.27851,0,0,26.88404,0,0,0.33028,0,0,62.22018,3.14736,0,1.10159,0.01898,0.66509,2.86118,0.35934,0,0.25823,0.66883,0,0,0,0,0,0,0.06086,0,0,0.14554,0,0
"60-rB",0,0,0,76.87991,0,0,1.9786,0,0,15.1128,0,0,0.09244,0.15685,0.1866,0.10923,0,0,0,0,0,0,0,0,0.05432,0,0,0,0,0,5.42926,0
"60-rP",0,0,0,58.80168,0.35962,0,2.23629,0,0,33.26561,0,0,0.10707,0.21652,0.12323,0.18159,0,0,0,0,0,0,0,0,0.0667,0,0,0,0,0,4.64169,0
