"","f__Acidaminococcaceae","f__Actinomycetaceae","f__Akkermansiaceae","f__Bacillales_unclassified","f__Bacteroidaceae","f__Barnesiellaceae","f__Bifidobacteriaceae","f__Brachyspiraceae","f__Campylobacteraceae","f__Candidatus_Gastranaerophilales_unclassified","f__Christensenellaceae","f__Clostridiaceae","f__Clostridiales_unclassified","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriales_unclassified","f__Desulfovibrionaceae","f__Eggerthellaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__Eubacteriaceae","f__Firmicutes_unclassified","f__Fusobacteriaceae","f__Hafniaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Methanobacteriaceae","f__Methanomassiliicoccaceae","f__Micrococcaceae","f__Odoribacteraceae","f__Oscillospiraceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptococcaceae","f__Peptoniphilaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Proteobacteria_unclassified","f__Pseudomonadaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Selenomonadaceae","f__Streptococcaceae","f__Sutterellaceae","f__Synergistaceae","f__Tannerellaceae","f__Veillonellaceae","f__Victivallaceae","f__Yersiniaceae"
"62-tP",1.12101,0,7.85206,0,49.14461,0,0,0,0,0,0,1.45307,0.34547,0,0,0,0.3584,0.19045,0.40405,0,0,1.4941,0,0,0,18.86051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04932,2.63295,0,0.0683,0,0,14.0257,0,0,0
"64-rB",0,0,4.14084,0,15.76581,0,10.1498,0,0,0,0,2.18845,1.40678,0,0,0,0.20937,2.76577,24.03823,0,0.37528,18.22015,0.39303,0,0,4.49942,0,0.27557,0,0,0,0,0,0,0,0,0.20582,0,0,0,1.65375,0,0,12.47046,0,0.20774,0.2079,0,0.4912,0.33464,0,0
"64-rP",0,0,2.51767,0,15.33239,0,0.2253,0,0,0,0,1.95524,1.25482,0,0,0,0.24778,0.43733,12.38585,0,0.18445,13.61934,0.66531,0,0,5.3303,0,0.14079,0,0,0,0,0,0,0,0,0.12968,0,0,0,0.98212,0,0,42.53076,0,0,0.12619,0,1.9015,0.03317,0,0
"64-tB",0,0,7.62962,0,18.58013,0,0.92444,0,0,0,0,1.50068,2.03527,0,0,0,0.13008,0.64482,12.14344,0,0.22921,19.38194,0.56663,0,0,14.86173,0,0.129,0,0,0,0,0,0,0,0,0.51938,0,0,0,1.19767,0,0,14.86905,0,0.09482,0.19462,0,2.69262,1.67486,0,0
"64-tP",0,0,0.88031,0,15.39615,0,0.19882,0,0,0,0,2.56932,0.67103,0,0,0,0.00395,0.06945,14.68562,0,0.0103,11.29442,0.15357,0,0,9.19863,0,0.10866,0,0,0,0,0,0,0,0,0,0,0,0,0.69333,0,0,42.93582,0,0,0.08244,0,0.93266,0.11552,0,0
"66-rB",0.24674,0,34.36886,0,34.21687,0,0,0,0,0,0,0.07943,0,0,0.80199,0,0,0.21353,0,0,0.02172,1.71939,1.01053,0,0,3.33784,0,1.04833,0,0,1.12376,0.25086,0,0,0,0,0.00472,0,0.13376,0,0,0,10.50281,7.46261,0,0.16082,0,0,3.29541,0,0,0
"66-rP",0,0,13.23096,0,46.17267,0,0,0,0,0,0,0.3064,0,0,1.41683,0,0,0.00942,0,0.05412,0.15228,0.87226,0.99695,0,0,6.80392,0,1.32522,0,0,1.33203,2.06358,0,0,0,0,0.06321,0,0.25363,0.01212,0,0,14.02479,6.675,0,0.01858,0,0,4.21603,0,0,0
"66-tB",0.01055,0,9.00171,0,45.84331,0,0,0,0,0,0,0.18614,0,0,1.14431,0,0.0081,0.06512,0,0,0.03719,2.0803,0.40033,0,0,4.74722,0,2.77918,0,0,1.16575,0.78881,0,0,0,0,0.03171,0,1.87322,0,0,0,12.43593,11.09474,0,0.00311,0,0,6.30328,0,0,0
"66-tP",0,0,12.38151,0,50.14802,0,0,0,0,0,0,0,0,0,1.21399,0,0.03015,0.01739,0,0,0.01241,0.55664,0.74098,0,0,6.96143,0,0.74237,0,0,1.29259,2.35389,0,0,0,0,0.01104,0,0.64256,0,0,0,12.31286,5.29198,0,0,0,0,5.29018,0,0,0
"68-rB",0,0,0,0,28.58993,0,0,0,0,0,0,0.02386,2.16189,0,0,0,0,0.45219,0,0,0.16185,2.83521,0.30506,0,0,5.25649,0,0.81146,0,0,1.33032,0,0,0,0,0,0,0,0,0,0,0,29.75113,22.1691,0,0.09061,0.03131,0,6.02959,0,0,0
"68-rP",0,0,0.00278,0,36.7714,0,0,0,0,0,0,0.02083,1.26888,0,0,0,0,0.52077,0,0,0.01974,5.97868,0.29962,0,0,4.25629,0,1.15241,0,0,1.11139,0,0,0,0,0,0,0,0,0,0.00349,0,22.99937,20.5985,0,1.16228,0.56429,0,2.93444,0.33486,0,0
"68-tB",0,0,0.26421,0,28.03238,0,0,0,0,0,0,0.01765,2.17826,0,0,0,0,0.69264,0,0,0.09989,4.81671,0.40502,0,0,6.46299,0,0.60864,0,0,1.48965,0,0,0,0,0,0,0,0,0,0.0119,0,35.67809,15.14734,0,1.21897,0.6213,0,2.25436,0,0,0
"68-tP",0,0,0.1631,0,35.91915,0,0,0,0,0,0,0,0.21453,0,0,0,0,0.40936,0,0,0.21999,6.38481,0.36152,0,0,3.07399,0.03385,0.92796,0,0,1.09768,0,0,0,0,0,0,0,0,0,0.01153,0,30.76807,12.46924,0,4.63217,0.81676,0,2.49629,0,0,0
"7-rB",0,0,0,0,53.43903,0,1.1224,0,0,0,0,0.28163,1.12213,0,2.70198,0,0,0.6135,0.05005,0,0.29441,5.12881,0.02379,0.02455,0,17.97782,0,0,0,0,0,0,0,0,0,0,0.12953,0,0,0,0.89459,0,0,10.24004,0,0.64703,2.66527,0,1.95593,0.68751,0,0
"7-rP",0,0,0,0,26.9938,0,2.093,0,0,0,0,0.88097,5.22148,0,3.28373,0,0,0.18526,0.24157,0,0.17745,3.95863,0.77162,0,0,28.1516,0,0,0,0,0,0,0,0,0,0,0.00587,0,0,0,2.57848,0,0,17.71555,0,4.23338,1.96502,0,1.46954,0.07305,0,0
"7-tB",0,0,0,0,50.3864,0,0.46761,0,0,0,0,0.06339,1.34425,0,0.49946,0,0,0,0,0,0,0.85647,0,0,0,34.01882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90677,0,0,8.39082,0,0.35732,1.89556,0,0.71095,0.1022,0,0
"7-tP",0,0,0,0,40.46928,0,2.73086,0,0,0,0,0.70807,5.75706,0,3.88685,0,0,0.36619,0.01932,0,0.4055,1.22024,1.47204,0,0,20.93642,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09843,0,0,14.57507,0,1.44493,2.05388,0,1.77604,0.07582,0,0
"70-rB",1.35827,0,10.20455,0,32.82455,0,1.70573,0,0,0,0,0,0.97012,0,0,0,0.1801,0.27801,0,0,0.07078,1.47653,0.52805,0,0,9.92929,0.0165,0.08422,0,0,0.77264,5.67004,0.01828,0,0,0,0,0,0,0,1.66493,0,15.76101,15.38922,0,0.00311,0.24366,0,0,0.85041,0,0
"70-rP",1.48543,0,8.43216,0,41.69662,0,0.95417,0,0,0,0,0,0.22504,0,0,0,0.08776,0.11257,0,0,0.09671,2.46733,0.21972,0,0,8.9927,0,0,0,0,1.53479,2.55083,0.02247,0,0,0,0,0,0,0,1.52894,0,14.10543,15.02968,0,0,0.17565,0,0,0.28199,0,0
"70-tB",1.37715,0,9.08508,0,19.87856,0,2.07513,0,0,0,0,0,1.49889,0,0,0,0.07359,0.52313,0,0,0.01744,1.87626,1.04374,0,0,11.50909,0,0.26679,0,0,0.8234,3.33306,0.04319,0,0,0,0,0,0,0,0.93489,0,19.69719,25.5873,0,0.07794,0.06528,0,0,0.21289,0,0
"70-tP",1.59852,0,7.7611,0,31.61906,0,0.99632,0,0,0,0,0.00251,0.60634,0,0,0,0.10303,0.26463,0,0,0.02266,2.2636,0.46496,0,0,18.61375,0,0.18634,0,0,0.91262,4.39096,0,0,0,0,0,0,0,0,1.36031,0,16.15492,12.2907,0,0,0.13122,0,0,0.25646,0,0
"71-rB",1.38316,0,0,0,68.73077,0,0,0,0,0,0,1.29683,0.92669,0,0.42744,0,0.10938,0.15732,0,0,0.48803,0.05359,0,0,0,4.31499,0,0,0,0,1.02449,0.05477,0,0,0,0,0.03552,0,0,0,0,0,7.07734,6.05332,0,0,0,0,7.86637,0,0,0
"71-rP",1.26039,0,0,0,69.54793,0,0,0,0,0,0,0.62502,0.50206,0,0.49716,0,0.14339,0.14399,0.04782,0,0.17237,1.69392,0,0,0,5.94225,0,0,0,0,0.80996,0.08496,0,0,0,0,0,0,0,0,0,0,6.00272,9.27635,0,0,0,0,3.24972,0,0,0
"71-tB",2.1386,0,0,0,32.03267,0,0,0,0,0,0,3.63573,2.62342,0,3.50932,0,0.5375,0.78493,0.14188,0,0.93965,2.01464,0,0,0,10.79235,0,0,0,0,0.39547,0.15626,0,0,0,0,0.06337,0,0,0,0,0,11.84082,23.54638,0,0,0,0,4.84701,0,0,0
"71-tP",1.44195,0,0,0,60.22116,0,0.15067,0,0,0,0,1.30002,0.41917,0,0.71013,0,0.39872,0.07616,0.21524,0.05665,0.2125,2.08673,0,0,0,8.79185,0,0,0,0,1.04461,0.26554,0,0,0,0,0,0,0,0,0,0,6.73053,11.32124,0,0,0,0,4.55713,0,0,0
"76-rP",0,0,0.7327,0,35.63643,0,0,0,0,0,0,0.5594,1.35145,0,3.53462,0,0.10547,1.17631,0,0,0.0454,2.37955,2.1842,0,0,23.18823,0,0,0,0,0.6006,0,0,0,0,0,0,0,0,0.02725,0,0,10.21018,17.56014,0,0.41439,0,0,0.29368,0,0,0
"76-tB",0,0,4.11751,0,16.52508,0,0,0,0,0,0,0.23479,0.61285,0,3.47537,0,0.16557,1.81355,0,0,0.0359,4.15228,4.17679,0,0,13.70745,0,0,0,0,0.22445,0,0,0,0,0,0,0,0,0,0,0,35.11732,14.90292,0,0.28509,0,0,0.45306,0,0,0
"76-tP",0,0,5.64265,0,27.19755,0,0,0,0,0,0,0.50209,0.67805,0,5.28776,0,0.15075,1.63801,0,0,0.09643,3.43422,3.44113,0,0,22.69572,0,0,0,0,0.32632,0,0,0,0,0,0,0,0,0,0,0,16.40126,11.77122,0,0.32729,0,0,0.40955,0,0,0
"77-rB",0.59349,0,0,0,56.99008,0,2.4551,0,0,0,0,0.12778,0.15722,0,0,0,0,0.67794,0.17443,0,0.53969,1.10244,0,0,0,18.15579,0.00887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12286,1.5395,0,0.16918,0,0,3.75248,3.43317,0,0
"77-rP",0.56359,0,0,0,67.20508,0,0.00829,0,0,0,0,0,0.02771,0,0,0,0,0.34095,0,0.06821,0.20722,0.18028,0,0,0,17.82412,0.04678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8987,0.85469,0,0,0,0,3.24072,3.53367,0,0
"77-tB",0.12606,0,0,0,59.52224,0,1.2308,0,0,0,0,0.37611,1.6063,0,1.14613,0,0,0.12662,0,0,0.04177,1.75483,0.07675,0,0,19.50338,0,0,0,0,0,0,0,0,0,0,0.10231,0,0,0,1.63563,0,0.67519,7.12184,0,0.71947,2.02918,0,1.16715,0.74647,0,0.29178
"77-tP",0.21799,0,0,0,78.79095,0,0.18289,0,0,0,0,0,0.03493,0,0,0,0,0.16871,0,0,0.19655,0.61136,0,0,0,7.61354,0.1039,0,0,0,0,0,0,0,0,0,0.00242,0,0,0,0,0,5.09433,1.18927,0,0.04047,0,0,3.72714,1.98515,0,0.0404
"79-rB",0,0,0.2274,0,7.94671,0,1.46561,0,0,0,0,0.00771,0.01823,0,1.23877,0,0.00155,0.03031,0,0,0.06425,1.03611,0,0,0,8.85961,0,0,0,0,0.35175,0,0,0.01626,0,0,0,0,64.80073,0,0.09586,0,1.99695,3.48191,0,1.85893,0.59126,0,5.32143,0.58866,0,0
"79-rP",0,0,2.65744,0,23.04535,0,2.81084,0,0,0,0,0.10354,0.43841,0,2.02221,0,0.03121,0.16711,0.02731,0,0.09413,1.55501,0.31789,0,0,9.91367,0.08441,0,0,0,0.86876,0.01031,0,0,0,0,0.05337,0,26.66943,0,0.25049,0,9.45307,11.54533,0,2.15913,1.4088,0,3.18295,1.1298,0,0
"79-tB",0,0,5.68366,0,19.7014,0,2.51522,0,0,0,0,0.08926,0.29138,0,1.44563,0,0.04216,0.10778,0,0,0.06958,2.74952,0.20539,0,0,13.87976,0,0,0,0,0.7794,0,0,0,0,0,0.00157,0,21.36636,0,0.25589,0,10.6051,10.90673,0,1.79163,1.65586,0,4.4322,1.42452,0,0
"79-tP",0,0,1.29402,0,8.80017,0,3.55863,0,0,0,0,0,0.09287,0,0.87305,0,0.01682,0.02689,0,0,0,1.12407,0.05623,0,0,10.72929,0,0,0,0,0.44669,0,0,0,0,0,0,0,54.69179,0,0.14185,0,3.32975,9.03015,0,0.73744,0.88218,0,3.40324,0.76486,0,0
"81-rB",0,0,0,0,47.09128,0,0,0,0,0,0,2.56672,4.01218,0,0,0,0.21496,0.59529,0,0,0.03931,0.17073,0,0,0,16.2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10704,0,0,22.13191,0,0,3.57855,0,3.29022,0,0,0
"81-rP",0,0,0,0,39.29399,0,0,0,0,0,0,2.01218,3.22466,0,0,0,0.10367,0.3803,0,0,0.05924,0.31544,0,0,0,16.80084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12012,0,0,30.12543,0,0.02648,3.00684,0,4.53079,0,0,0
"81-tB",0,0,0,0,39.35336,0,0,0,0,0,0,2.79865,2.38417,0,0,0,0.3038,1.09509,0,0,0.13789,0.89086,0.0675,0,0,17.18288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13593,0,0,26.78726,0,0.04207,3.64919,0,5.17134,0,0,0
"81-tP",0,0,0,0,38.0547,0,0,0,0,0,0,1.91061,1.40471,0,0,0,0.1235,0.26612,0,0,0.09112,0.48666,0,0,0,19.9223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06206,0,0,31.66792,0,0,2.18711,0,3.7719,0.05129,0,0
"84-rB",0,0,0,0,69.21767,1.62909,0,0,0,0,0,0.8153,0,0,0.71791,0,0,0.0545,0,0,0.07853,0.61199,0,0,0,14.8958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15791,1.10379,0,0,0,0,10.7175,0,0,0
"84-rP",0,0,0,0,71.1913,1.98404,0,0,0,0,0,1.02387,0,0,0.77672,0,0,0,0,0,0,0.68269,0,0,0,14.49205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13865,1.43953,0,0,0,0,8.27115,0,0,0
"84-tB",0,0,0,0,63.81335,1.13291,0,0,0,0,0,1.15142,0.07803,0,1.54184,0,0,0.19585,0,0,0.09795,0.86959,0,0,0,19.3917,0,0,0,0,0,0.29364,0,0,0,0,0,0,0,0,0,0,0.20474,1.05882,0,0,0,0,10.17018,0,0,0
"84-tP",0,0,0,0,58.96825,1.98882,0,0,0,0,0,1.45007,0.05394,0,0.96436,0,0,0.14691,0,0,0.06001,0.72468,0,0,0,19.83294,0,0,0,0,0,0.29659,0,0,0,0,0,0,0,0,0,0,0.13437,4.9683,0,0,0,0,10.41076,0,0,0
"85-rB",0,0,0,0,39.27457,0,0,0,0,0,0,2.82671,0,0,0,0,0,0.99017,0.55005,0,1.90088,0,0,0,0,13.78988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80372,3.5446,0,0.01104,0,0,35.30838,0,0,0
"85-rP",0,0,0,0,39.78159,0,0.80276,0,0,0,0,1.31134,0.03468,0,0,0,0,0.18761,31.46463,0,0.28305,9.84144,0.05467,0,0,4.30265,0,0,0,0,1.02392,0,0,0,0,0,0.07325,0,0,0,0,0,3.13627,4.36467,0,0.00216,0,0,3.33531,0,0,0
"85-tB",0,0,0,0,51.907,0,2.68336,0,0,0,0,0.95989,0,0,0,0,0,0.14548,0,0,0.23109,8.0866,0.52069,0,0,23.83951,1.00928,0,0,0,0.49606,0,0,0,0,0,0,0,0,0,0,0,0.80652,3.34944,0,0,0,0,5.96506,0,0,0
"85-tP",0,0,0,0.42949,50.52908,0,0.9851,0,0,0,0,2.15972,0.00735,0,0,1.28449,0,1.76514,5.38117,0.28987,1.41074,4.13512,1.13774,0,0,9.04451,0,0,0,0,2.9692,0,0,0,0.76448,1.46598,0.03477,0,0,0,0,1.72733,4.0782,6.19855,0,0,0,0,4.20195,0,0,0
"95-rB",0,0,0,0,32.29623,0,1.02774,0,0,0,0,0.25035,1.19189,0,0,0,0.15787,0.2156,0.29588,0,0,0.97895,0.12367,0,0.48486,15.19116,0,0,0,0,1.28008,0,0,0,0,0,0.01024,0,0,0,0,0,23.02894,6.50962,0,0.03955,0.08417,0,16.40089,0.43231,0,0
"95-rP",0,0,0,0,43.93056,0,5.83729,0,0,0,0,0.06022,1.26696,0,0,0,0.20424,0.33674,4.13861,0,0.01012,0.35374,0.02317,0,0,11.84678,0,0,0,0,0.82316,0,0,0,0,0,0,0,0,0,0,0,18.01674,2.63596,0,0.15524,0.23083,0,9.39512,0.7345,0,0
"95-tB",0,0,0,0,45.90184,0,2.48717,0,0,0,0,0,1.46232,0,0,0,0.15144,0.35721,0.67291,0,0.12323,1.64465,0.15414,0,0,14.01565,0.00933,0,0,0,0.81744,0,0,0,0,0,0,0,0,0,0,0,14.23061,7.74765,0,0,0.10717,0,9.64873,0.46851,0,0
"95-tP",0,0,0,0,50.27214,0,1.86485,0,0,0,0,0,0.6276,0,0,0,0.12666,0.28279,5.48164,0,0.16562,0.81449,0.0286,0,0,10.69075,0,0,0,0,0.83183,0,0,0,0,0,0,0,0,0,0,0,14.19438,2.45828,0,0.00855,0.32117,0,11.02965,0.801,0,0
"96-rB",0.29877,0,1.0274,0,31.33873,0,2.32266,0,0,0,0,0.13833,1.26332,0,0.40857,0,0,0.07423,0,0,0.07101,1.82063,0.42468,0,0,13.80566,0,0,0,0.01314,1.1727,1.20172,0,0,0,0,0,0,0,0,0.09056,0,8.0367,24.41312,0,1.45836,1.07893,0,9.54076,0,0,0
"96-rP",0,0,0.07644,0,32.76989,0,2.48612,0,0,0,0,0,0.13294,0,0.06946,0,0,0,0,0,0,1.38484,0,0,0,18.86642,0,0,0,0,0.30487,0.31848,0,0,0,0,0,0,0,0,0,0,8.13868,21.90147,0,2.3545,0.85971,0,10.33618,0,0,0
"96-tB",0.39644,0,2.13958,0,24.76411,0,1.11094,0,0,0,0,0.32847,1.1382,0,0.64631,0,0,0.12471,0,0,0.03308,5.81324,0.45663,0,0,10.58645,0.33101,0,0,0,1.17858,2.31367,0,0,0,0,0,0,0,0,0.11127,0,13.28909,22.43242,0,2.36484,1.29258,0,9.14839,0,0,0
"96-tP",0.66844,0,1.38594,0,35.35706,0,0.45747,0,0,0,0,0.29519,0.49734,0,0.49145,0,0,0.00651,0,0,0.05239,2.53213,0.21081,0,0,12.31938,0,0,0,0,1.72788,2.15801,0,0,0,0,0,0,0,0,0.13408,0,10.36215,16.5156,0,0.2915,1.81402,0,12.72266,0,0,0
"97-rB",0,0,45.37265,0,13.64507,1.61553,0.78915,0,0.10773,0,0,0.26576,0.05153,0,1.93232,0,0.1507,0.29007,0,0,0.17637,3.49877,0.09197,0,0,7.30532,0,1.77848,0,0,0.26442,8.31267,0.12281,0,0,0,0,0,0,0,0,0,8.62453,1.13856,0,0.03847,0.1256,0,4.28605,0.01548,0,0
"97-rP",0,0,19.57502,0,27.65474,2.16802,2.33411,0,0,0,0,0.09656,0.59571,0,0.92381,0,0.05996,0.13878,0,0,0.06232,6.66208,0.1655,0,0,7.99573,0,0.57488,0,0,0.54172,2.56316,0.04218,0,0,0,0,0,0,0,0,0,16.59248,4.81792,0,0.06401,0.41772,0,5.93511,0.01849,0,0
"97-tP",0,0,17.37492,0,28.3409,2.17403,0.29077,0,0,0,0,0.6736,0.51296,0,0.77179,0,0.08571,0.16045,0,0,0.02756,10.22352,0,0,0,10.31924,0,0.73979,0,0,0.78658,1.41361,0.03581,0,0,0,0,0,0,0,0.01184,0,10.68007,7.37026,0,0,0.89694,0,7.0151,0.09455,0,0
"99-rB",0,0,0,0,36.70337,3.28672,0.20595,0,0,0,0,2.58752,1.04229,0,1.01483,0,0,0.00789,0,0,0.20581,0.86761,0,0,0,11.27952,0,0,0,0,1.32803,0.23166,0,0,0,0,1.10844,0,0,0,0.04943,0,19.25726,13.95217,0,0.09279,2.44248,0,4.31612,0.0201,0,0
"99-rP",0,0,0,0,40.93414,4.44484,0.05398,0,0,0,0,0.32326,0.26408,0,0.60058,0,0,0,0,0,0.16755,0.58432,0,0,0,1.28799,0,0,0.03086,0,1.04174,0.6922,0,0,0,0,0,0,0,0,0,0,39.70107,7.58721,0,0,0.44355,0,1.84262,0,0,0
"99-tB",0,0,0,0,32.3692,5.00414,0.10877,0,0,0,0,0.28375,0.45372,0,1.06376,0,0,0.009,0,0,0.12788,2.08209,0,0,0,14.17236,0,0,0,0,1.2312,0.38052,0,0,0,0,0.08519,0,0,0,0,0,25.85477,13.37537,0,0,0.68405,0,2.6626,0.05162,0,0
"99-tP",0,0,0,0,46.90304,4.51277,0.09813,0,0,0,0,0.30799,0.39023,0,1.0293,0,0,0,0,0,0.06186,0.68303,0,0,0,3.89497,0,0,0.03713,0,1.39763,1.05916,0,0,0,0,0.08989,0,0,0,0.00715,0,30.74819,5.94679,0,0,0.45892,0,2.36737,0.00646,0,0
