"","f__Acidaminococcaceae","f__Actinomycetaceae","f__Akkermansiaceae","f__Bacillales_unclassified","f__Bacteroidaceae","f__Barnesiellaceae","f__Bifidobacteriaceae","f__Brachyspiraceae","f__Campylobacteraceae","f__Candidatus_Gastranaerophilales_unclassified","f__Christensenellaceae","f__Clostridiaceae","f__Clostridiales_unclassified","f__Comamonadaceae","f__Coriobacteriaceae","f__Corynebacteriales_unclassified","f__Desulfovibrionaceae","f__Eggerthellaceae","f__Enterobacteriaceae","f__Enterococcaceae","f__Erysipelotrichaceae","f__Eubacteriaceae","f__Firmicutes_unclassified","f__Fusobacteriaceae","f__Hafniaceae","f__Lachnospiraceae","f__Lactobacillaceae","f__Methanobacteriaceae","f__Methanomassiliicoccaceae","f__Micrococcaceae","f__Odoribacteraceae","f__Oscillospiraceae","f__Oxalobacteraceae","f__Pasteurellaceae","f__Peptococcaceae","f__Peptoniphilaceae","f__Peptostreptococcaceae","f__Porphyromonadaceae","f__Prevotellaceae","f__Propionibacteriaceae","f__Proteobacteria_unclassified","f__Pseudomonadaceae","f__Rikenellaceae","f__Ruminococcaceae","f__Selenomonadaceae","f__Streptococcaceae","f__Sutterellaceae","f__Synergistaceae","f__Tannerellaceae","f__Veillonellaceae","f__Victivallaceae","f__Yersiniaceae"
"60-rP",0,0,4.64169,0,40.13502,0,0.35962,0,0,0,0,0,4.32086,0,0,0,0.10707,0.21652,0.12323,0,0.18159,0.09095,0,0,0,23.9957,0,0,0,0,1.30371,0,0,0,0,0,0.09054,0,1.74403,0,0.0667,0,10.91818,4.76757,0,0,2.23629,0,4.70074,0,0,0
"60-tB",0,0,1.80163,0,71.8597,0,0,0,0,0,0,0,1.37928,0,0,0,0.03957,0.17635,0.12308,0,0.07736,0,0,0,0,9.27777,0,0,0,0,0.91589,0,0,0,0,0,0,0,1.28792,0,0.02191,0,5.29023,4.61267,0,0.12398,0.85939,0,2.15328,0,0,0
"60-tP",0,0,5.86058,0,65.8662,0,0,0,0,0,0,0,1.55232,0,0,0,0.04213,0.18715,0.08845,0,0.03972,0,0,0,0,7.25799,0,0.04945,0,0,0.95572,0,0,0,0,0,0,0,2.22981,0,0.03901,0,6.36299,3.54667,0,0,1.32335,0,4.59847,0,0,0
"61-rB",3.46784,0,0.01745,0,48.70213,3.43214,0,0,0,0,0,1.23533,0.00464,0,2.49331,0,0.02104,0.00706,1.22791,0,0.01764,2.92883,0.87292,0,0,12.64047,0,0,0,0,0.43922,0.57824,0,0,0,0,0,0,0,0,0.08751,0,7.5953,3.80226,0,0,2.45445,0,7.97431,0,0,0
"61-rP",4.68333,0,10.04892,0,44.37778,3.7176,0,0,0,0,0,0.90384,0,0,1.8972,0,0.08525,0.06044,1.29078,0,0,5.63601,0.33677,0,0,3.85982,0,0,0,0,0.59739,1.43121,0,0,0,0,0,0,0,0,0.08487,0,7.10208,3.88158,0,0.00753,2.15367,0,7.84392,0,0,0
"61-tB",2.61922,0,3.48749,0,51.37228,1.56134,0,0,0,0,0,1.86234,0.03475,0,1.35917,0,0.01832,0.06086,0.3912,0,0,7.21057,0.28855,0,0,5.90918,0,0,0,0,0.66088,1.35037,0,0,0,0,0,0,0,0,0.07244,0,8.34614,3.93776,0,0,2.42321,0,7.03393,0,0,0
"61-tP",4.88401,0,12.81414,0,38.50897,3.96664,0,0,0,0,0,1.02129,0,0,3.17573,0,0.08245,0.11716,2.11376,0,0,7.31867,0.01803,0,0,3.68344,0,0,0,0,0.67707,3.01201,0.03477,0,0,0,0,0,0,0,0.06345,0,6.43643,5.78163,0,0.03139,1.80268,0,4.45627,0,0,0
"62-rB",0.99401,0,7.28632,0,24.34644,0,0,0,0,0,0,1.50935,0.6048,0,0,0,0.17116,0.36764,0.2211,0,0.23167,2.38848,0.17178,0,0,26.2542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75752,5.1157,0,0,0,0,18.57982,0,0,0
"62-rP",1.21363,0,1.65853,0,29.62419,0,0,0,0,0,0,2.53494,1.70732,0,0,0,0.50425,0.55548,0.42472,0,0.13105,2.95422,0.17385,0,0,28.54483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28482,7.33951,0,0,0,0,17.34865,0,0,0
"62-tB",1.00618,0,14.59634,0,28.93775,0,0,0,0,0,0,1.52595,1.10103,0,0,0,0.29242,0.49768,3.0484,0,0.06227,0.63183,0.19821,0,0,16.0889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.53254,3.31596,0,0.05647,0,0,17.10808,0,0,0
