"","c__Actinobacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Candidatus_Melainabacteria_unclassified","c__Clostridia","c__Coriobacteriia","c__Deltaproteobacteria","c__Epsilonproteobacteria","c__Erysipelotrichia","c__Firmicutes_unclassified","c__Fusobacteriia","c__Gammaproteobacteria","c__Lentisphaeria","c__Methanobacteria","c__Negativicutes","c__Proteobacteria_unclassified","c__Spirochaetia","c__Synergistia","c__Thermoplasmata","c__Tissierellia","c__Verrucomicrobiae"
"66-tB",0,0.00311,67.62149,0,0,18.92891,1.20943,0.0081,0,0.03719,0.40033,0,0,0,2.77918,0.01055,0,0,0,0,0,9.00171
"66-tP",0,0,69.68622,0,0,15.17498,1.23138,0.03015,0,0.01241,0.74098,0,0,0,0.74237,0,0,0,0,0,0,12.38151
"68-rB",0,0.09061,65.70097,0.03131,0,32.44654,0.45219,0,0,0.16185,0.30506,0,0,0,0.81146,0,0,0,0,0,0,0
"68-rP",0,1.16228,63.81659,0.56429,0,32.12318,0.52077,0,0,0.01974,0.29962,0,0,0,1.15241,0.33486,0.00349,0,0,0,0,0.00278
"68-tB",0,1.21897,67.45448,0.6213,0,28.62294,0.69264,0,0,0.09989,0.40502,0,0,0,0.60864,0,0.0119,0,0,0,0,0.26421
"68-tP",0,4.66602,70.2812,0.81676,0,22.14256,0.40936,0,0,0.21999,0.36152,0,0,0,0.92796,0,0.01153,0,0,0,0,0.1631
"7-rB",1.1224,0.64703,55.39497,2.66527,0,34.87996,3.31548,0,0,0.29441,0.02379,0.02455,0.05005,0,0,0.68751,0.89459,0,0,0,0,0
"7-rP",2.093,4.23338,28.46334,1.96502,0,55.9341,3.46899,0,0,0.17745,0.77162,0,0.24157,0,0,0.07305,2.57848,0,0,0,0,0
"7-tB",0.46761,0.35732,51.09735,1.89556,0,44.67375,0.49946,0,0,0,0,0,0,0,0,0.1022,0.90677,0,0,0,0,0
"7-tP",2.73086,1.44892,42.24533,2.05388,0,43.19686,4.25304,0,0,0.4055,1.47204,0,0.01932,0,0,0.07582,2.09843,0,0,0,0,0
"70-rB",1.70573,0.01961,49.35821,0.26194,0,33.4352,0.27801,0.1801,0,0.07078,0.52805,0,0,0,0.08422,2.20868,1.66493,0,0,0,0,10.20455
"70-rP",0.95417,0,57.33684,0.19812,0,29.26557,0.11257,0.08776,0,0.09671,0.21972,0,0,0,0,1.76743,1.52894,0,0,0,0,8.43216
"70-tB",2.07513,0.07794,40.39915,0.10848,0,43.80459,0.52313,0.07359,0,0.01744,1.04374,0,0,0,0.26679,1.59004,0.93489,0,0,0,0,9.08508
"70-tP",0.99632,0,48.6866,0.13122,0,38.16785,0.26463,0.10303,0,0.02266,0.46496,0,0,0,0.18634,1.85498,1.36031,0,0,0,0,7.7611
"71-rB",0,0,84.69897,0,0,12.73571,0.58476,0.10938,0,0.48803,0,0,0,0,0,1.38316,0,0,0,0,0,0
"71-rP",0,0,79.61032,0,0,18.12455,0.64115,0.14339,0,0.17237,0,0,0.04782,0,0,1.26039,0,0,0,0,0,0
"71-tB",0,0,49.11596,0,0,42.83215,4.29425,0.5375,0,0.93965,0,0,0.14188,0,0,2.1386,0,0,0,0,0,0
"71-tP",0.15067,0.05665,72.55343,0,0,24.18455,0.78629,0.39872,0,0.2125,0,0,0.21524,0,0,1.44195,0,0,0,0,0,0
"76-rP",0.02725,0.41439,46.74088,0,0,45.03878,4.71093,0.10547,0,0.0454,2.1842,0,0,0,0,0,0,0,0,0,0,0.7327
"76-tB",0,0.28509,52.31991,0,0,33.6103,5.28893,0.16557,0,0.0359,4.17679,0,0,0,0,0,0,0,0,0,0,4.11751
"76-tP",0,0.32729,44.33467,0,0,39.0813,6.92577,0.15075,0,0.09643,3.44113,0,0,0,0,0,0,0,0,0,0,5.64265
"77-rB",2.4551,0.17805,70.86542,0,0,21.08272,0.67794,0,0,0.53969,0,0,0.17443,0,0,4.02665,0,0,0,0,0,0
"77-rP",0.00829,0.11499,76.3445,0,0,18.8868,0.34095,0,0,0.20722,0,0,0,0,0,4.09726,0,0,0,0,0,0
"77-tB",1.2308,0.71947,61.36457,2.02918,0,30.46477,1.27275,0,0,0.04177,0.07675,0,0.29178,0,0,0.87253,1.63563,0,0,0,0,0
"77-tP",0.18289,0.14437,87.61242,0,0,9.45152,0.16871,0,0,0.19655,0,0,0.0404,0,0,2.20314,0,0,0,0,0,0
"79-rB",1.46561,1.85893,80.41758,0.59126,0,13.40356,1.26908,0.00155,0,0.06425,0,0,0.01626,0,0,0.58866,0.09586,0,0,0,0,0.2274
"79-rP",2.81084,2.24355,63.21957,1.4088,0,23.61964,2.18932,0.03121,0,0.09413,0.31789,0,0.02731,0,0,1.1298,0.25049,0,0,0,0,2.65744
"79-tB",2.51522,1.79163,56.88446,1.65586,0,27.91822,1.55341,0.04216,0,0.06958,0.20539,0,0,0,0,1.42452,0.25589,0,0,0,0,5.68366
"79-tP",3.55863,0.73744,70.67164,0.88218,0,20.97639,0.89994,0.01682,0,0,0.05623,0,0,0,0,0.76486,0.14185,0,0,0,0,1.29402
"81-rB",0,0,50.38149,3.57855,0,45.08335,0.59529,0.21496,0,0.03931,0,0,0,0,0,0,0.10704,0,0,0,0,0
"81-rP",0,0.02648,43.82478,3.00684,0,52.47855,0.3803,0.10367,0,0.05924,0,0,0,0,0,0,0.12012,0,0,0,0,0
"81-tB",0,0.04207,44.5247,3.64919,0,50.04383,1.09509,0.3038,0,0.13789,0.0675,0,0,0,0,0,0.13593,0,0,0,0,0
"81-tP",0,0,41.8266,2.18711,0,55.3922,0.26612,0.1235,0,0.09112,0,0,0,0,0,0.05129,0.06206,0,0,0,0,0
"84-rB",0,0,81.72218,0,0,17.42689,0.77241,0,0,0.07853,0,0,0,0,0,0,0,0,0,0,0,0
"84-rP",0,0,81.58514,0,0,17.63814,0.77672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84-tB",0,0,75.32117,0,0,22.8432,1.73769,0,0,0.09795,0,0,0,0,0,0,0,0,0,0,0,0
"84-tP",0,0,71.5022,0,0,27.32652,1.11127,0,0,0.06001,0,0,0,0,0,0,0,0,0,0,0,0
"85-rB",0,0.01104,76.38667,0,0,20.16119,0.99017,0,0,1.90088,0,0,0.55005,0,0,0,0,0,0,0,0,0
"85-rP",0.80276,0.00216,47.27709,0,0,19.92803,0.18761,0,0,0.28305,0.05467,0,31.46463,0,0,0,0,0,0,0,0,0
"85-tB",2.68336,1.00928,59.17464,0,0,36.23545,0.14548,0,0,0.23109,0.52069,0,0,0,0,0,0,0,0,0,0,0
"85-tP",2.26959,0.71936,61.77844,0,0,22.34451,1.76514,0,0,1.41074,1.13774,0,7.1085,0,0,0,0,0,0,0,1.46598,0
"95-rB",1.02774,0.03955,73.00613,0.08417,0,24.13221,0.2156,0.15787,0,0,0.12367,0,0.78075,0,0,0.43231,0,0,0,0,0,0
"95-rP",5.83729,0.15524,72.16558,0.23083,0,16.16367,0.33674,0.20424,0,0.01012,0.02317,0,4.13861,0,0,0.7345,0,0,0,0,0,0
"95-tB",2.48717,0.00933,70.59862,0.10717,0,24.87027,0.35721,0.15144,0,0.12323,0.15414,0,0.67291,0,0,0.46851,0,0,0,0,0,0
"95-tP",1.86485,0.00855,76.328,0.32117,0,14.59113,0.28279,0.12666,0,0.16562,0.0286,0,5.48164,0,0,0.801,0,0,0,0,0,0
"96-rB",2.3358,1.45836,50.08889,1.07893,0,42.64279,0.4828,0,0,0.07101,0.42468,0,0,0,0,0.29877,0.09056,0,0,0,0,1.0274
"96-rP",2.48612,2.3545,51.54961,0.85971,0,42.60416,0.06946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07644
"96-tB",1.11094,2.69585,48.38017,1.29258,0,42.61244,0.77102,0,0,0.03308,0.45663,0,0,0,0,0.39644,0.11127,0,0,0,0,2.13958
"96-tP",0.45747,0.2915,60.16974,1.81402,0,34.31766,0.49796,0,0,0.05239,0.21081,0,0,0,0,0.66844,0.13408,0,0,0,0,1.38594
"97-rB",0.78915,0.03847,28.4356,0.2484,0,20.57261,2.22239,0.1507,0.10773,0.17637,0.09197,0,0,0,1.77848,0.01548,0,0,0,0,0,45.37265
"97-rP",2.33411,0.06401,52.89207,0.4599,0,22.73116,1.06259,0.05996,0,0.06232,0.1655,0,0,0,0.57488,0.01849,0,0,0,0,0,19.57502
"97-tP",0.29077,0,48.99667,0.93275,0,30.5132,0.93224,0.08571,0,0.02756,0,0,0,0,0.73979,0.09455,0.01184,0,0,0,0,17.37492
"99-rB",0.20595,0.09279,64.8915,2.44248,0,31.06922,1.02272,0,0,0.20581,0,0,0,0,0,0.0201,0.04943,0,0,0,0,0
"99-rP",0.05398,0,87.96442,0.44355,0,10.73906,0.60058,0,0,0.16755,0,0,0,0,0,0,0,0,0,0.03086,0,0
"99-tB",0.10877,0,67.12191,0.68405,0,30.833,1.07276,0,0,0.12788,0,0,0,0,0,0.05162,0,0,0,0,0,0
"99-tP",0.09813,0,85.929,0.45892,0,12.37206,1.0293,0,0,0.06186,0,0,0,0,0,0.00646,0.00715,0,0,0.03713,0,0
