"","term","estimate","std.error","statistic","p.value","padj"
"446","PWY.6123..inosine.5.phosphate.biosynthesis.I.1777.0980418303.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.0308594371572888,2.68996133893575,0.0114720746021941,0.990846809567908,1
"447","PWY.7204..pyridoxal.5.phosphate.salvage.II..plants..182.9143141406.PWY.7204..pyridoxal.5.phosphate.salvage.II..plants.",0.14944790433343,13.0271035985814,0.0114720746021935,0.990846809567909,1
"448","PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I.793.1026540181.PYRIDOXSYN.PWY..pyridoxal.5.phosphate.biosynthesis.I",0.0593202021123702,5.17083475913145,0.0114720746021933,0.990846809567909,1
"449","PWY.6123..inosine.5.phosphate.biosynthesis.I.1627.6475455961.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.111487924496529,9.71820079301227,0.0114720746021931,0.990846809567909,1
"450","PWY.7234..inosine.5.phosphate.biosynthesis.III.775.0877396611.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.103948992072433,9.06104568502069,0.0114720746021926,0.990846809567909,1
"451","PWY.5695..inosine.5.phosphate.degradation.1510.8506583437.PWY.5695..inosine.5.phosphate.degradation",0.0709124299592821,6.18130830022043,0.0114720746021927,0.990846809567909,1
"452","PWY.5695..inosine.5.phosphate.degradation.1754.2423174321.PWY.5695..inosine.5.phosphate.degradation",0.114737686857186,10.0014767019785,0.0114720746021923,0.99084680956791,1
"453","PWY.6123..inosine.5.phosphate.biosynthesis.I.1516.6620174464.PWY.6123..inosine.5.phosphate.biosynthesis.I",0.050377388850785,4.39130589694369,0.0114720746021923,0.99084680956791,1
"454","PWY.7234..inosine.5.phosphate.biosynthesis.III.115.7567273855.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.599740046955426,52.2782554814303,0.0114720746021921,0.99084680956791,1
"455","PWY.7234..inosine.5.phosphate.biosynthesis.III.1168.9598325324.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.0461361019972145,4.02160059074226,0.011472074602192,0.99084680956791,1
"456","PWY.7234..inosine.5.phosphate.biosynthesis.III.506.7665243230.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.255630328748904,22.2828335425975,0.011472074602192,0.99084680956791,1
"457","PWY.7234..inosine.5.phosphate.biosynthesis.III.1034.5900892308.PWY.7234..inosine.5.phosphate.biosynthesis.III",0.0860154582182153,7.49781196522041,0.0114720746021919,0.99084680956791,1
"458","PWY.7204..pyridoxal.5.phosphate.salvage.II..plants..11.0086587300.PWY.7204..pyridoxal.5.phosphate.salvage.II..plants.",1.62494856580804,141.643828353206,0.0114720746021919,0.99084680956791,1
"459","PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage.102.5374457782.PWY0.845..superpathway.of.pyridoxal.5.phosphate.biosynthesis.and.salvage",0.543628136865604,47.3870817368773,0.0114720746021915,0.99084680956791,1
