Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
"56(1,H7)",84-4,27,2151,250,7246,19,NaN,29,97,NaN,353,17,13433.5,27,,
"57(1,A8)",95-1,19,1477.5,127.5,6616.5,14,76,28.5,72,4636,NaN,NaN,6935.5,24,,
"58(1,B8)",95-1,25,24,285,9118,22,69,15,88,4663.5,359.5,25,21214,3933,,
"59(1,C8)",95-2,29,26,187,9965,24,59.5,15,102,5623,1308,28,31738,3793,,
"60(1,D8)",95-2,30,28,164,10249.5,29,28,19,70,6964,242,32,24846,6168,,
"61(1,E8)",95-3,28,27,261,7757,22,126,16,73,6625,452,25,24765,3320,,
"62(1,F8)",95-3,27,25,246.5,7615,22,85,14.5,75,5744,373,28,23308.5,3185,,
"63(1,G8)",95-4,29,27,221,10388,24,65,15,68.5,6941,388.5,27.5,25396,3806,,
"64(1,H8)",95-4,26,25,281.5,10601,20,106,12,66,6246.5,417,24,24001,2151,,
"65(1,A9)",96-1,21,17,245,5991,23,212,15,123,4988,317,26,21898.5,4315,,
"66(1,B9)",96-1,25,20,232,6041,23,181,16,116,5351.5,286,27,22209,4132,,
"67(1,C9)",96-2,26,19,233,6632,25,323,17,107.5,5330.5,307.5,28,22460,3823,,
"68(1,D9)",96-2,26,21,211,6470,26,93,17,100,4710,161,30,21779,6075,,
"69(1,E9)",96-3,33,19,237,5816,22,311,14,97,4858.5,267,26,21557,3787,,
"70(1,F9)",96-3,30,18,220,5819,20,268,14,87,5120,236,25,21520.5,3249,,
"71(1,G9)",96-4,34,20,268,6846,24,254,19,112,4499.5,267,30,23652,3807,,
"72(1,H9)",96-4,32,16,293,7041.5,21.5,269,15,111,4783,272,27,24053,2176,,
"73(1,A10)",99-1,28,23,161,10726,24,94,18,133,4684.5,763,26,21341,4363,,
"74(1,B10)",99-1,27,24,168,10814,24,90,15,126,4526,726,27,21180.5,4805,,
"75(1,C10)",99-2,26,25,146,11073,23,83,16,95,5299.5,657,25,21874,4083,,
